id,category_id,title,content,created_at,updated_at
6691f471,dd45dfb5,切换模式,Shift + Tab 可以在：默认，规划，自动 三种模式下切换,2026-04-10 13:01,2026-04-10 13:01
7faf85c6,dd45dfb5,Claude对话内执行终端命令,"输入 !
进入bash模式，可执行终端命令",2026-04-10 13:02,2026-04-10 13:02
ed47124e,dd45dfb5,编辑对话,Ctrl + g 可打开编辑器，输入对话，Ctrl + s 保存后，关闭编辑器，则编辑的对话回到Claude会话栏上,2026-04-10 13:07,2026-04-10 13:07
757c647e,dd45dfb5,Claude放飞自我模式(危险),"启动claude时 添加 --dangerously-skip-permissions参数
claude --dangerously-skip-permissions
主要用于 CI/CD 自动化流水线，比如 GitHub Actions 里无人值守地跑 Claude Code 任务，没有人工交互的环境中必须跳过确认",2026-04-10 13:14,2026-04-10 13:41
3dc75a85,dd45dfb5,查看后台任务,/tasks 可查看所有后台任务,2026-04-10 13:36,2026-04-10 13:36
68a798a1,dd45dfb5,回滚会话状态,"/rewind 会显示会话历史的检查点列表，选择要回退到的位置即可
适用场景
• Claude 改坏了代码，想撤销回之前的状态
• 走错了方向，想从某个节点重新开始尝试
• 类似 Git 的 git reset，但针对的是整个对话+文件状态",2026-04-10 13:39,2026-04-10 13:39
afac05b3,11cd3409,Figma原型工具安装,claude mcp add --transport http figma https://mcp.figma.com/mcp,2026-04-10 13:44,2026-04-10 13:44
2000132b,dd45dfb5,继续最近一次会话的快捷参数,claude -c,2026-04-10 13:56,2026-04-10 13:56
10fd6ae5,dd45dfb5,恢复指定历史会话的快捷参数,"claude -r
然后选择要切换的历史对话",2026-04-10 13:58,2026-04-10 13:58
55e21d8e,dd45dfb5,在会话内用于恢复历史会话,"/resume
和 claude -r 类似，是在会话内用于恢复历史会话的命令",2026-04-10 14:36,2026-04-10 14:36
719e8328,dd45dfb5,压缩当前会话上下文,"/compact
Claude 的上下文窗口是有上限的（如 200k tokens），长时间编码会话很容易逼近上限，此时会出现：
• 响应变慢
• Claude 开始""遗忘""早期内容
• 最终报错无法继续",2026-04-10 14:39,2026-04-10 14:39
5658ee4d,dd45dfb5,查看当前上下文用量,/status,2026-04-10 14:41,2026-04-10 14:41
255f20a4,dd45dfb5,清空当前会话所有对话历史,"/clear
适用场景
• 当前任务已完成，想在同一终端开始完全不相关的新任务
• 上下文乱了或跑偏了，想彻底清空重来
• 不想保留任何历史，比 /compact 更彻底",2026-04-10 14:43,2026-04-10 14:43
b403267b,dd45dfb5,初始化 CLAUDE.md 文件,"/init
在当前项目目录初始化 CLAUDE.md 文件的命令
CLAUDE.md 是给 Claude 看的项目说明文件，每次启动会话时 Claude 会自动读取它，相当于给 Claude 的持久化背景知识",2026-04-10 14:45,2026-04-10 14:45
a2c0ad4f,dd45dfb5,查看和编辑 Claude Code 记忆文件,"/memory
适用场景
• 发现 Claude 总是忘记某个约定，手动补充进去
• 项目技术栈变了，更新记忆内容
• 查看当前 Claude 掌握了哪些项目背景",2026-04-10 14:47,2026-04-10 14:47
d8994874,dd45dfb5,查看 Claude Code 用量统计,npx ccusage@latest,2026-04-10 14:50,2026-04-10 14:50
6d01f0ff,0844c92b,用户自定义的任务管理,"TASK.md 不是 Claude Code 的内置特殊文件（不像 CLAUDE.md 会被自动读取），它是一种用户自定义的任务管理约定
开发者通常用 TASK.md 来记录给 Claude 的任务清单

因为不会自动读取，需要手动引用：
方式 1：写入 CLAUDE.md
每次开始前先读取 TASK.md 了解当前任务
方式 2：对话中直接引用
请读取 TASK.md，继续完成未完成的任务",2026-04-10 14:56,2026-04-10 14:56
e43cd32e,943768cb,https://github.com/snarktank/ralph 解决长任务Agent问题,"核心原理：一个bash循环
  重复最多25次：
    把指令文件 prompt.md 发送给Agent
    等它干完活
    如果AI回复 “全部完成” -> 停下来
    否则 -> 下一轮

每轮指令：
  1 读任务清单(prd.json)，找下一个没完成的任务
  2 读经验日志(progress.txt)，看看前几轮踩了什么坑
  3 实现这个任务
  4 跑测试
  5 测试通过 -> 提交代码，标记任务已完成
  6 把这轮学到的东西写进经验日志
  7 如果所有任务都完成了 -> 回复""全部完成""

特点：
  每轮全新上下文
  用完就扔，每轮都是最清醒的状态

三件套记忆
  - 任务清单：做到哪了
  - 经验日志：踩过什么坑
  - git提交：每轮代码成功

安装ralph：
在claude对话中输入：
  'https://github.com/snarktank/ralph'，clone这个项目到子目录。根据readme.md安装到当前文件夹，适用于Claude Code

使用例：
创建需求文档：
  /prd 创建一个在线协作白板的PRD，功能类似Excalidraw，先开发一个MVP版本。
转换成json：
  /ralph 转换成prd.json
运行脚本：
  ! ./ralph/ralph.sh --tool claude 

必坑指南：
1 任务拆得越小越好，否则一轮干不完就开始糊弄了
2 验收标准写得越死越好，越模糊AI钻空子的余地越大
3 git是安全网，遇到bug就reset，最多丢一轮",2026-04-10 15:41,2026-04-10 16:45
d8d7321d,dd45dfb5,交互学习使用Claude,/powerup,2026-04-10 17:30,2026-04-10 17:30
137ab5c6,dd45dfb5,@符号指定文件,"例：
   文件 @main.py 是干什么用的
   请详细说明 @static\todo.css:98 的作用",2026-04-10 17:45,2026-04-10 17:45
4b061709,641ae6ba,1 什么是机器学习,"机器学习 = 让计算机通过数据自动学习规律，而不是手写规则
Arthur Samuel 给出的经典定义是：
  “如果一个程序在任务 T 上的表现（P），随着经验（E）的增加而提升，那么它就是在学习。”
三点本质：
1. 必须有目标（T）
2. 必须依赖数据（E）
3. 必须可衡量（P）",2026-04-13 16:56,2026-04-13 16:56
d05e9cc6,641ae6ba,2 机器学习的两种类型,"监督学习
无监督学习",2026-04-13 16:57,2026-04-13 17:07
28029ba9,0b4f0040,1 什么是监督学习,"监督学习 = 用“带答案的数据”去学习输入和输出之间的映射关系
监督学习的目标：y ≈ f(x)
x：输入（特征）
y：正确答案（标签）
f：模型（要学的东西）
👉 本质：学一个函数

监督学习两大类型：
1 回归（Regression）
    预测“连续数值”，例如：房价预测，股票价格预测
2 分类（Classification）
    预测“类别”，例如：涨 / 跌，垃圾邮件 / 正常邮件",2026-04-13 17:17,2026-04-14 09:49
048e0f99,b0bc0baa,什么是Agent,"Agent（智能体） = 能自主感知环境 → 做决策 → 执行动作 的系统
核心闭环：观察（Observe） → 思考（Think） → 行动（Act）

Agent = 大模型 + 任务目标 + 工具调用 + 循环决策",2026-04-14 13:30,2026-04-14 13:30
6c1209b6,6edf7f42,1 流程明确的任务,"企业发票管理：收到发票PDF->PDF转成格式化MD->LLM判断是否是一张发票，如果是，提取发票信息，调用工具更新数据库

处理客户邮件咨询：客户邮件->LLM识别关键信息，比如邮件内容，订单编号等等->调用数据库查询订单详情->LLM起草回复邮件草稿->调用审核功能将草稿放入审核队列->人工审核邮件内容->通过审核，发送邮件",2026-04-15 14:06,2026-04-16 09:50
7fbe525d,6edf7f42,2 流程复杂需要Agent自行判断处理流程,比如查询某个航班是否有座，Agent需要自行去搜索引擎搜索航班网站的网址，进入该网站，自行查询结果，若没有结果应该找其他网站继续查找，整个流程全部由Agent自行判断处理,2026-04-16 09:57,2026-04-16 09:57
05c63793,9aec6225,识别工作流中的步骤,以创建一个研究型的Agent为例，比如：针对主题X写一篇论文,2026-04-16 10:11,2026-04-16 10:13
